measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,135,Brazil,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.137912549647,0.144635244455,0.131591287611
5,Prevalence,23,Kiribati,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.104052940011,0.111099719095,0.0974136188363
5,Prevalence,98,Chile,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.162735718562,0.169426483961,0.156661368858
5,Prevalence,173,Gabon,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.1114392509,0.117082992528,0.106122300142
5,Prevalence,212,Mauritania,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.10214106378,0.108724411977,0.0955949704679
5,Prevalence,41,Uzbekistan,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.100000255375,0.10662282919,0.0938105404299
5,Prevalence,74,Andorra,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.156473045219,0.16322635898,0.150230556132
5,Prevalence,171,Democratic Republic of the Congo,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.109815807913,0.117556704957,0.102423126557
5,Prevalence,1,Global,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.128554339965,0.136303166688,0.121445220499
5,Prevalence,154,Tunisia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.150713058536,0.160234463143,0.14139986793
5,Prevalence,376,Northern Mariana Islands,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.107430056046,0.112809095235,0.102495817008
5,Prevalence,97,Argentina,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.154097311007,0.160935132359,0.147525711902
5,Prevalence,210,Liberia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.10553863836,0.112644053165,0.0987489163903
5,Prevalence,152,Saudi Arabia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.12408468602,0.130316079979,0.117599900667
5,Prevalence,76,Belgium,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.150229515455,0.156189885941,0.144675780009
5,Prevalence,116,Saint Lucia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.129183706062,0.135860583542,0.122767602902
5,Prevalence,191,Zambia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.106228409559,0.112772131003,0.0999237617514
5,Prevalence,213,Niger,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.102372670265,0.110510617451,0.094037825657
5,Prevalence,20,Vietnam,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.101087036144,0.109396010968,0.0933154220225
5,Prevalence,136,Paraguay,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.128876340987,0.135175801884,0.122974343713
5,Prevalence,37,Kyrgyzstan,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.104569493874,0.111096983979,0.098414633292
5,Prevalence,193,Botswana,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.111623609793,0.118234228151,0.105460287437
5,Prevalence,58,Estonia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.132294330199,0.137928052984,0.12681923931
5,Prevalence,385,Puerto Rico,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.137671267419,0.143875262081,0.131900008986
5,Prevalence,79,Finland,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.159990053395,0.16681660535,0.153405416238
5,Prevalence,38,Mongolia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.103620187384,0.11069445485,0.0972113895146
5,Prevalence,132,Panama,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.104324612742,0.109715431557,0.0992728397514
5,Prevalence,117,Saint Vincent and the Grenadines,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.128402801479,0.135077321896,0.121560783593
5,Prevalence,81,Germany,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.158083327256,0.164584390044,0.152267316304
5,Prevalence,39,Tajikistan,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.0959579329173,0.102774299072,0.0897588087354
5,Prevalence,112,Grenada,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.12767560012,0.134150442878,0.121444657372
5,Prevalence,95,United Kingdom,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.150002607873,0.156579146345,0.143823249248
5,Prevalence,208,Guinea,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.100339435824,0.106916059599,0.0941037046583
5,Prevalence,62,Russian Federation,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.1219926692,0.127999946682,0.116556870096
5,Prevalence,139,Algeria,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.136633638151,0.145534299444,0.128400206936
5,Prevalence,99,Uruguay,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.154144211123,0.161019638405,0.147625499351
5,Prevalence,156,United Arab Emirates,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.123483193487,0.130167329376,0.116844980643
5,Prevalence,18,Thailand,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.128026826554,0.137021613333,0.119242157854
5,Prevalence,172,Equatorial Guinea,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.10971685431,0.117288658601,0.102693156004
5,Prevalence,22,Fiji,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.104174600631,0.109991640446,0.0982719869147
5,Prevalence,119,Trinidad and Tobago,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.1382416348,0.144856277401,0.131995861564
5,Prevalence,43,Albania,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.106856752112,0.113570778633,0.101009755772
5,Prevalence,36,Kazakhstan,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.109280509772,0.114985615508,0.103916542951
5,Prevalence,115,Jamaica,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.128595544554,0.134949210464,0.122246368764
5,Prevalence,6,China,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.113394407478,0.119455839524,0.107852761631
5,Prevalence,194,Lesotho,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.126225388641,0.133441342185,0.11915006359
5,Prevalence,22,Fiji,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.103749971607,0.10955811948,0.0979008226306
5,Prevalence,114,Haiti,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.125116226985,0.132404389176,0.117669533532
5,Prevalence,1,Global,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.128726977112,0.136407610523,0.121660141148
5,Prevalence,153,Syria,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.141406064207,0.15252646607,0.130858393185
5,Prevalence,44,Bosnia and Herzegovina,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.12028802276,0.127624311963,0.113808102139
5,Prevalence,61,Moldova,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.118393066008,0.124484659852,0.112638047975
5,Prevalence,155,Turkey,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.14272203519,0.151853843019,0.134408793884
5,Prevalence,97,Argentina,3,Both,22,All Ages,558,Mental disorders,2,Percent,1991,0.154396322453,0.161247721911,0.147804878534
5,Prevalence,169,Central African Republic,3,Both,22,All Ages,558,Mental disorders,2,Percent,1992,0.112350853378,0.120014221397,0.105102064954
5,Prevalence,25,Federated States of Micronesia,3,Both,22,All Ages,558,Mental disorders,2,Percent,1990,0.101499557618,0.108613220213,0.0948993824539
